"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,8707.38310660375,8731.06093159798,8759.59122779191,8765.97059351292,8783.85547664001,8800.08623883479
2,8707.38309214355,8731.0609113144,8759.5898092781,8765.96915794449,8783.85430577559,8800.08414629586
3,8707.38308784079,8731.06085991301,8759.58909964974,8765.96873661418,8783.85400079756,8800.08176955203
4,8707.38305955797,8731.06087278082,8759.5880755521,8765.96768402239,8783.85339967267,8800.08113416019
5,8707.38304701482,8731.06081912606,8759.5866346717,8765.96637793773,8783.85238108261,8800.07861038045
6,8707.3830387589,8731.06080196023,8759.58473185628,8765.96462734156,8783.85102886963,8800.07665915565
7,8707.38300984362,8731.06086697014,8759.58421673014,8765.96425682346,8783.85088656862,8800.0746215883
8,8707.3829918571,8731.06084118376,8759.58244349671,8765.96271332154,8783.84961877103,8800.07227347424
9,8707.38299135331,8731.06074465266,8759.58030507691,8765.96064593694,8783.8479270758,8800.06944215023
10,8707.38297535487,8731.06073555328,8759.57789836169,8765.95835116012,8783.84602278838,8800.06602726966
11,8707.38295659642,8731.06072895669,8759.57643731688,8765.95710166863,8783.8451600122,8800.0640373741
12,8707.38293823466,8731.06066763925,8759.57473852521,8765.95548222212,8783.84402545219,8800.06238875516
13,8707.38292805254,8731.0606785039,8759.57367464662,8765.95467837231,8783.8433009995,8800.05970909711
14,8707.38291448829,8731.06064484314,8759.57091372251,8765.95205430141,8783.84109825158,8800.05649771261
15,8707.38289389281,8731.06055559319,8759.56829968055,8765.9496330933,8783.83933485774,8800.05383277788
16,8707.38287216299,8731.06062204285,8759.56766705832,8765.94926229722,8783.83906888539,8800.05102282096
17,8707.38287614598,8731.06062924743,8759.5643940274,8765.94609614546,8783.8362793653,8800.04742343837
18,8707.38292839549,8731.06063996772,8759.55763237389,8765.93977174983,8783.83002999229,8800.03944772007
19,8707.38298360388,8731.06068625629,8759.55104158803,8765.9334448231,8783.82383027995,8800.03124942559
20,8707.38303854266,8731.06070150292,8759.54440804942,8765.92715296428,8783.81763650121,8800.02385301663
21,8707.38308954501,8731.06078437683,8759.53866433438,8765.92178496187,8783.81200264142,8800.01549531885
22,8707.38314944029,8731.06077088806,8759.53120950593,8765.91471100776,8783.80515908321,8800.00719666533
23,8707.38320033932,8731.06085155055,8759.52468047763,8765.90857048595,8783.79901413716,8799.99933710492
24,8707.3832586949,8731.06087229518,8759.51798942322,8765.90216282427,8783.79262241323,8799.99117011063
25,8707.38331196563,8731.06096984603,8759.51175132535,8765.89628441366,8783.78670508981,8799.98339206255
26,8707.38337133229,8731.0609408649,8759.50462077562,8765.889541381,8783.78001852533,8799.97528613584
27,8707.38342437271,8731.060948504,8759.49778729523,8765.88301480965,8783.77354644077,8799.96692625497
28,8707.38347733773,8731.06107662206,8759.49156958812,8765.87713859896,8783.76767446121,8799.959071857
29,8707.38353114082,8731.06109079102,8759.48448517232,8765.87038244947,8783.76093617229,8799.95052565047
30,8707.38359716075,8731.06109805086,8759.4785632308,8765.86484395328,8783.75526244145,8799.94275182828
31,8707.38367843391,8731.06113301678,8759.47234334182,8765.85887295909,8783.74964368889,8799.93571820637
32,8707.38382300301,8731.06114784254,8759.46977090603,8765.85639020322,8783.74769993162,8799.93091870901
33,8707.38396520271,8731.06115366851,8759.4653206704,8765.85202674491,8783.74396960213,8799.92518706423
34,8707.38412980645,8731.06112188119,8759.45981257262,8765.84659710948,8783.73945512496,8799.91915319932
35,8707.38429688067,8731.06115638396,8759.4563992009,8765.84328707397,8783.7366862663,8799.9132117497
36,8707.38445665425,8731.06115466574,8759.45183966477,8765.83879009109,8783.73290405914,8799.90692547694
37,8707.38462214375,8731.06112530236,8759.44743753875,8765.83456890757,8783.72929047881,8799.90023008752
38,8707.38478315347,8731.06115091301,8759.44276350803,8765.83001726718,8783.72554544003,8799.89457922809
39,8707.38495229673,8731.0611469152,8759.43829278394,8765.82562837981,8783.72171994184,8799.88775232827
40,8707.38511401476,8731.06114471684,8759.4332700641,8765.82067997734,8783.71758723854,8799.88147232084
41,8707.3852784278,8731.06122777299,8759.42978803974,8765.81733352534,8783.71476957691,8799.87589519171
42,8707.38544287672,8731.06119020256,8759.424589443,8765.81229070963,8783.71048503944,8799.86881813399
43,8707.38560940605,8731.06120081434,8759.42026956736,8765.80803610505,8783.7069351657,8799.86278445057
44,8707.38577034706,8731.06121908814,8759.41542814779,8765.80331224595,8783.70298802964,8799.85695242841
45,8707.38593209022,8731.06126609648,8759.41076049281,8765.79883295666,8783.699162407,8799.85012048137
46,8707.38610065107,8731.06121656094,8759.40602681277,8765.79413591923,8783.69514613145,8799.84338925629
47,8707.38626822136,8731.06128951728,8759.40129280015,8765.78958452623,8783.6912223791,8799.83711712065
48,8707.38642544506,8731.06132685625,8759.39734292524,8765.78574169155,8783.68798583605,8799.83088798531
49,8707.38659756767,8731.06134145829,8759.39095814938,8765.7794805633,8783.6827166793,8799.82387224183
50,8707.3867862499,8731.0613076416,8759.38609907666,8765.77483813535,8783.67862604376,8799.81659383985
51,8707.38696400995,8731.06135744781,8759.38109969293,8765.76999368558,8783.67448466023,8799.80939926324
52,8707.38714599974,8731.06144092552,8759.37453827812,8765.76359737355,8783.66892393453,8799.80130607353
53,8707.38701821736,8731.0613366476,8759.36834217553,8765.75768783959,8783.66388461531,8799.79375252316
54,8707.38624247256,8731.06060295328,8759.35834102878,8765.74791904304,8783.65533645992,8799.78325124601
55,8707.38539018715,8731.05985760949,8759.34823366665,8765.73819469348,8783.64660652299,8799.77305576307
