"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,2657.38841950046,2685.39294424506,2711.95462708855,2719.58929197478,2738.62240294926,2756.66099245601
2,2657.3884777142,2685.37085434302,2711.9516084836,2719.58592619588,2738.62009289915,2756.66298700914
3,2657.38846790695,2685.38597785145,2711.96100931967,2719.59511774809,2738.62981380434,2756.66765981451
4,2657.38852766076,2685.38331834878,2711.95259551626,2719.58697010948,2738.6195564191,2756.66185136465
5,2657.38854355529,2685.39598336334,2711.97889789539,2719.61199854474,2738.64035740039,2756.69287573699
6,2657.38859483276,2685.40016948577,2711.969175608,2719.60198186549,2738.63020010066,2756.68244707209
7,2657.38863468031,2685.39362706645,2711.95658364855,2719.59047476439,2738.62381569088,2756.67806835582
8,2657.38869020826,2685.37526334482,2711.9634675771,2719.59703175485,2738.62746439216,2756.68490481439
9,2657.38871627293,2685.39952617721,2711.97873317985,2719.61060855089,2738.63656608848,2756.6946111377
10,2657.38878509863,2685.39800821104,2711.97945022023,2719.6118838758,2738.63380709182,2756.70236701888
11,2657.38880859831,2685.38474447756,2711.987857565,2719.61913409274,2738.64013606561,2756.70751286584
12,2657.38885731211,2685.3930336886,2711.99381570444,2719.62464167048,2738.64495262551,2756.71164179091
13,2657.38890098088,2685.40562807096,2711.98697977555,2719.61886837388,2738.63744945509,2756.7069745631
14,2657.38896797191,2685.38080712859,2711.99697095799,2719.62727947291,2738.64689762571,2756.71907056094
15,2657.38900818435,2685.39218118095,2712.0093734799,2719.63903419871,2738.6544430077,2756.73416457378
16,2657.38903796149,2685.38144864633,2712.00950067308,2719.63931386833,2738.65395800152,2756.73867693306
17,2657.38912301065,2685.37893559586,2712.00802771319,2719.63621832442,2738.65032440197,2756.7427648555
18,2657.38912380063,2685.39526363064,2711.99735941359,2719.62645265036,2738.59908340903,2756.61301501518
19,2657.38914580216,2685.39743408993,2711.99482718636,2719.62270076609,2738.56081908785,2756.61817776808
