"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
"1",1,2655.55991148338,2670.970694514,2709.62663712673,2719.75208323697,2735.4693418683,2749.13118766721
"2",1,2655.55991148338,2670.970694514,2709.62663712673,2719.75208323697,2735.4693418683,2749.13118766721
"3",2,2655.55990124615,2670.978506746,2709.65901893734,2719.78229487358,2735.4972286556,2749.16120284176
"4",2,2655.55990124615,2670.978506746,2709.65901893734,2719.78229487358,2735.4972286556,2749.16120284176
"5",3,2655.55989755367,2670.98739968331,2709.65751938753,2719.78018702011,2735.49693213108,2749.15719858105
"6",3,2655.55989755367,2670.98739968331,2709.65751938753,2719.78018702011,2735.49693213108,2749.15719858105
"7",4,2655.55989919798,2670.97095550366,2709.62764492272,2719.75191004196,2735.45722692182,2749.12200797745
"8",4,2655.55989919798,2670.97095550366,2709.62764492272,2719.75191004196,2735.45722692182,2749.12200797745
"9",5,2655.55988568046,2670.98297915253,2709.66404534261,2719.78624900556,2735.4968430745,2749.16509435582
"10",5,2655.55988568046,2670.98297915253,2709.66404534261,2719.78624900556,2735.4968430745,2749.16509435582
"11",6,2655.55988150826,2670.97740140781,2709.67088743481,2719.79523003092,2735.50411101245,2749.17428601304
"12",6,2655.55988150826,2670.97740140781,2709.67088743481,2719.79523003092,2735.50411101245,2749.17428601304
"13",7,2655.5598704612,2670.97359896351,2709.65982522007,2719.78306886455,2735.48762635577,2749.1641419842
"14",7,2655.5598704612,2670.97359896351,2709.65982522007,2719.78306886455,2735.48762635577,2749.1641419842
"15",8,2655.55986544436,2670.98213909115,2709.66658322119,2719.7899765359,2735.49816926196,2749.17383824563
"16",8,2655.55986544436,2670.98213909115,2709.66658322119,2719.7899765359,2735.49816926196,2749.17383824563
"17",9,2655.55985823433,2670.98661265645,2709.69096271739,2719.81478339714,2735.51946173216,2749.19902679293
"18",9,2655.55985823433,2670.98661265645,2709.69096271739,2719.81478339714,2735.51946173216,2749.19902679293
"19",10,2655.55985076348,2670.97771285609,2709.67215027851,2719.7950787965,2735.49602505513,2749.17465325226
"20",10,2655.55985076348,2670.97771285609,2709.67215027851,2719.7950787965,2735.49602505513,2749.17465325226
"21",11,2655.55984639522,2670.97513295168,2709.67833134685,2719.8046619926,2735.50094664145,2749.18221522192
"22",11,2655.55984639522,2670.97513295168,2709.67833134685,2719.8046619926,2735.50094664145,2749.18221522192
"23",12,2655.55984274503,2670.97545027088,2709.67285820173,2719.79980074889,2735.50029910188,2749.18148790422
"24",12,2655.55984274503,2670.97545027088,2709.67285820173,2719.79980074889,2735.50029910188,2749.18148790422
