"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,2657.1546037181,2669.2313521271,2689.61833019224,2697.92798586129,2723.81244920015,2742.00310958318
2,2657.15463533467,2669.24686948342,2689.60569356975,2697.91497934763,2723.79614085205,2741.98892268068
3,2657.1546508369,2669.28635336234,2689.59083427026,2697.89903825032,2723.78025215751,2741.96709648941
4,2657.15466262843,2669.27213858526,2689.60318753714,2697.91191682869,2723.79049950578,2741.97594549942
5,2657.15466709339,2669.25901403881,2689.62045954715,2697.9295927011,2723.80683609906,2741.99370695216
6,2657.15469759753,2669.28656514315,2689.60621436136,2697.9153979127,2723.78746749513,2741.98158353497
7,2657.15472879384,2669.29838764093,2689.6019584068,2697.91015724495,2723.77942094174,2741.96647786704
8,2657.15474457169,2669.32008140379,2689.59609615715,2697.90511167582,2723.77512475042,2741.96836176505
9,2657.15476524941,2669.31396411096,2689.59945735314,2697.91015245125,2723.77028752926,2741.97071120915
10,2657.15479596439,2669.33392002691,2689.59764277143,2697.90704509724,2723.76920779093,2741.9628794217
11,2657.15481575398,2669.3549513689,2689.58803588868,2697.89778108194,2723.76269858486,2741.95513584293
12,2657.15483697011,2669.37211511822,2689.57586470223,2697.88538449849,2723.74026029741,2741.95033323898
13,2657.15486538051,2669.38915876625,2689.57095644427,2697.88042911731,2723.73768122207,2741.94566746668
14,2657.15489376853,2669.4062854046,2689.56957303872,2697.87922186832,2723.7363642565,2741.9414163522
15,2657.15492166079,2669.41467399532,2689.57427493754,2697.88356041623,2723.73148034675,2741.9409110412
16,2657.1549488446,2669.42741231737,2689.57101378283,2697.88066747558,2723.72519180247,2741.93924575452
17,2657.15498534192,2669.40295145044,2689.59096187814,2697.90253465591,2723.74494247907,2741.96031589646
18,2657.15503437952,2669.458639118,2689.56941136204,2697.87895110439,2723.70823262158,2741.95971020757
19,2657.15507529134,2669.45434931408,2689.56935419922,2697.8810569811,2723.69386511016,2741.97288871764
20,2657.15513604171,2669.48632816699,2689.5701660227,2697.88080137571,2723.68204651864,2741.99968965562
21,2657.15518004852,2669.51155601076,2689.55997078719,2697.87010863707,2723.66039391956,2742.01324944027
22,2657.1552200675,2669.55570623067,2689.54121126386,2697.85158060115,2723.62629316276,2742.02200701967
23,2657.15527129672,2669.57148771102,2689.5493713819,2697.86050141881,2723.60587046976,2742.06030617545
24,2657.15530627436,2669.58339265279,2689.55267260072,2697.86443088188,2723.58470035141,2742.09638165673
25,2657.1553681637,2669.62730692757,2689.55451076761,2697.86552672901,2723.55655409705,2742.13241538247
26,2657.15539787732,2669.67510959282,2689.53924692054,2697.85195030998,2723.49776232648,2742.17185288614
27,2657.1554556107,2669.78091126172,2689.53088055435,2697.84185846295,2723.42493835299,2742.18791987152
28,2657.15550101492,2669.90820734563,2689.51988928808,2697.83186278976,2723.33149822851,2742.24345856083
29,2657.15554787804,2670.19499178055,2689.52108239519,2697.83176923332,2723.28117171369,2742.46243030994
30,2657.15558746949,2669.4219392471,2689.52215435652,2697.83742895424,2723.17706193889,2744.72243449914
31,2657.15562543846,2669.49783642051,2689.50487999379,2697.81779199805,2723.15707330651,2744.73235342854
32,2657.15565984567,2669.52924347359,2689.51873221013,2697.83212887574,2723.16647158937,2744.75919292469
33,2657.15568687227,2669.58749251568,2689.50482244305,2697.81925594643,2723.14736023496,2744.76038545573
34,2657.15572677871,2669.62569304925,2689.49731729039,2697.81145383331,2723.13412989321,2744.77574725619
35,2657.15577103567,2669.64654025155,2689.50100392308,2697.81590913864,2723.13113090276,2744.80437868175
