"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,2663.5114597427,2681.32579624774,2709.51805956283,2716.31997089358,2729.66838073051,2761.25593712139
1,2663.5114597427,2681.32579624774,2709.51805956283,2716.31997089358,2729.66838073051,2761.25593712139
2,2663.51150720474,2681.32821858546,2709.52273698857,2716.32464310676,2729.66693720678,2761.25538518265
2,2663.51150720474,2681.32821858546,2709.52273698857,2716.32464310676,2729.66693720678,2761.25538518265
3,2663.5115405515,2681.32018190387,2709.52331535975,2716.32553295068,2729.66018488771,2761.24964979524
3,2663.5115405515,2681.32018190387,2709.52331535975,2716.32553295068,2729.66018488771,2761.24964979524
4,2663.51160086467,2681.32016057659,2709.52297727677,2716.32619960771,2729.66366156841,2761.23514302039
4,2663.51160086467,2681.32016057659,2709.52297727677,2716.32619960771,2729.66366156841,2761.23514302039
5,2663.51162501583,2681.31824539267,2709.52893109103,2716.33166035985,2729.66395508046,2761.22623599297
5,2663.51162501583,2681.31824539267,2709.52893109103,2716.33166035985,2729.66395508046,2761.22623599297
6,2663.51168122173,2681.32185756873,2709.53489247409,2716.33886038258,2729.66544620897,2761.21433637386
6,2663.51168122173,2681.32185756873,2709.53489247409,2716.33886038258,2729.66544620897,2761.21433637386
7,2663.51173181197,2681.32046524968,2709.53668221124,2716.34047143678,2729.66801321335,2761.18406687927
7,2663.51173181197,2681.32046524968,2709.53668221124,2716.34047143678,2729.66801321335,2761.18406687927
8,2663.5117806407,2681.31721421343,2709.54385631597,2716.34814271077,2729.67174596666,2761.16676007131
8,2663.5117806407,2681.31721421343,2709.54385631597,2716.34814271077,2729.67174596666,2761.16676007131
9,2663.51182772164,2681.31801581613,2709.54900536462,2716.35470780975,2729.67313501582,2761.15918560704
9,2663.51182772164,2681.31801581613,2709.54900536462,2716.35470780975,2729.67313501582,2761.15918560704
10,2663.51189168622,2681.31486446226,2709.55156217056,2716.35657068479,2729.66686395551,2761.14019298742
10,2663.51189168622,2681.31486446226,2709.55156217056,2716.35657068479,2729.66686395551,2761.14019298742
11,2663.51192337019,2681.31427771081,2709.56264542493,2716.36808610922,2729.67455079711,2761.11829375545
11,2663.51192337019,2681.31427771081,2709.56264542493,2716.36808610922,2729.67455079711,2761.11829375545
