vial,cross,female line,male line,food,month crossed,cross number,number weighed,weight
8007,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.26
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.27
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.35
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.37
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.38
8007,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.39
8007,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.4
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.42
8007,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.48
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.48
8008,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.5
8008,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.5
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.51
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.51
8007,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.52
8008,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.54
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.56
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.56
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.57
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.6
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.67
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.67
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.68
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.69
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.7
8008,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.71
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.72
8008,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.79
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.83
8008,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.84
8008,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.87
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.87
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.9
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.9
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,1.94
8008,11011 x 11022,11011,11022,(F) Fat,02/12,3,1,1.97
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,2.02
8000,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,2.06
8001,11011 x 11022,11011,11022,(N) Normal,02/12,3,1,2.09
14426,11011 x 11023,11011,11023,(N) Normal,07/12,26,3,3.83
14433,11011 x 11023,11011,11023,(F) Fat,07/12,26,3,4.05
14426,11011 x 11023,11011,11023,(N) Normal,07/12,26,3,4.1
14434,11011 x 11023,11011,11023,(F) Fat,07/12,26,3,4.16
14427,11011 x 11023,11011,11023,(N) Normal,07/12,26,3,4.18
14427,11011 x 11023,11011,11023,(N) Normal,07/12,26,3,4.22
14433,11011 x 11023,11011,11023,(F) Fat,07/12,26,3,4.34
14434,11011 x 11023,11011,11023,(F) Fat,07/12,26,3,4.43
14434,11011 x 11023,11011,11023,(F) Fat,07/12,26,3,4.55
14433,11011 x 11023,11011,11023,(F) Fat,07/12,26,3,4.55
14427,11011 x 11023,11011,11023,(N) Normal,07/12,26,3,4.58
14427,11011 x 11023,11011,11023,(N) Normal,07/12,26,1,1.55
14433,11011 x 11023,11011,11023,(F) Fat,07/12,26,1,1.58
14426,11011 x 11023,11011,11023,(N) Normal,07/12,26,3,4.74
14434,11011 x 11023,11011,11023,(F) Fat,07/12,26,3,4.84
14434,11011 x 11023,11011,11023,(F) Fat,07/12,26,1,1.93
8022,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.11
8015,11022 x 11023,11022,11023,(N) Normal,02/12,3,1,1.26
8022,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.29
8021,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.36
8021,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.37
8015,11022 x 11023,11022,11023,(N) Normal,02/12,3,1,1.38
8014,11022 x 11023,11022,11023,(N) Normal,02/12,3,1,1.4
8015,11022 x 11023,11022,11023,(N) Normal,02/12,3,1,1.45
8022,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.46
8014,11022 x 11023,11022,11023,(N) Normal,02/12,3,1,1.46
8021,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.49
8021,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.5
8021,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.52
8021,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.56
8021,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.58
8014,11022 x 11023,11022,11023,(N) Normal,02/12,3,1,1.63
8014,11022 x 11023,11022,11023,(N) Normal,02/12,3,1,1.69
8022,11022 x 11023,11022,11023,(F) Fat,02/12,3,1,1.74
8015,11022 x 11023,11022,11023,(N) Normal,02/12,3,1,1.74
8014,11022 x 11023,11022,11023,(N) Normal,02/12,3,1,1.75
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,0.56
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,0.77
8035,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,0.79
8035,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,0.86
8035,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,0.87
8035,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,0.95
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,0.96
8035,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,0.98
8035,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,0.99
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.07
8035,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.09
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.27
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.27
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.27
8035,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.28
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.31
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.31
8035,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.31
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.32
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.32
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.33
8035,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.37
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.39
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.4
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.43
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.49
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.49
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.5
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.51
8028,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.55
8036,11023 x 11024,11023,11024,(F) Fat,02/12,3,1,1.57
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.58
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.59
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.59
8028,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.63
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.68
8028,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.68
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.7
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.71
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.71
8028,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.71
8028,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.71
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.77
8028,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.85
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.86
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,1.96
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,2.02
8028,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,2.02
8029,11023 x 11024,11023,11024,(N) Normal,02/12,3,1,2.21
14454,11024 x 11034,11024,11034,(N) Normal,07/12,26,3,4.97
14454,11024 x 11034,11024,11034,(N) Normal,07/12,26,3,5.01
14454,11024 x 11034,11024,11034,(N) Normal,07/12,26,3,5.58
14454,11024 x 11034,11024,11034,(N) Normal,07/12,26,3,5.63
14454,11024 x 11034,11024,11034,(N) Normal,07/12,26,3,5.75
8042,11025 x 11027,11025,11027,(N) Normal,02/12,3,1,0.83
8043,11025 x 11027,11025,11027,(N) Normal,02/12,3,1,0.99
8042,11025 x 11027,11025,11027,(N) Normal,02/12,3,1,1
8042,11025 x 11027,11025,11027,(N) Normal,02/12,3,1,1.18
8042,11025 x 11027,11025,11027,(N) Normal,02/12,3,1,1.23
8043,11025 x 11027,11025,11027,(N) Normal,02/12,3,1,1.24
8042,11025 x 11027,11025,11027,(N) Normal,02/12,3,1,1.29
8050,11025 x 11027,11025,11027,(F) Fat,02/12,3,1,1.31
8042,11025 x 11027,11025,11027,(N) Normal,02/12,3,1,1.31
