vial,cross,female line,male line,food,month crossed,cross number,average wt per vial,number weighed
19473,12336 x 12337,12336,12337,(F) Fat,12/12,48,1.315,10
19474,12336 x 12337,12336,12337,(F) Fat,12/12,48,1.1426666667,15
19466,12336 x 12337,12336,12337,(N) Normal,12/12,48,1.246,5
19467,12336 x 12337,12336,12337,(N) Normal,12/12,48,1.2993333333,15
19417,12327 x 12332,12327,12332,(F) Fat,12/12,47,1.5966666667,6
19410,12327 x 12332,12327,12332,(N) Normal,12/12,47,1.6871428571,7
19403,12324 x 12327,12324,12327,(F) Fat,12/12,47,1.3533333333,9
19396,12324 x 12327,12324,12327,(N) Normal,12/12,47,1.1814285714,7
19397,12324 x 12327,12324,12327,(N) Normal,12/12,47,1.2916666667,6
19389,12323 x 12324,12323,12324,(F) Fat,12/12,47,1.6342857143,7
19382,12323 x 12324,12323,12324,(N) Normal,12/12,47,1.6133333333,9
19383,12323 x 12324,12323,12324,(N) Normal,12/12,47,1.5385714286,7
19354,12321 x 12322,12321,12322,(N) Normal,12/12,47,1.4888888889,9
19355,12321 x 12322,12321,12322,(N) Normal,12/12,47,1.6955555556,9
19340,12320 x 12321,12320,12321,(N) Normal,12/12,47,1.8973333333,15
19319,12317 x 12318,12317,12318,(F) Fat,12/12,47,1.3281818182,11
19320,12317 x 12318,12317,12318,(F) Fat,12/12,47,1.3145454545,11
19312,12317 x 12318,12317,12318,(N) Normal,12/12,47,1.311,10
19313,12317 x 12318,12317,12318,(N) Normal,12/12,47,1.3457142857,14
19277,12314 x 12315,12314,12315,(F) Fat,12/12,47,1.5645454545,11
19278,12314 x 12315,12314,12315,(F) Fat,12/12,47,1.3533333333,15
19270,12314 x 12315,12314,12315,(N) Normal,12/12,47,1.4726666667,15
19271,12314 x 12315,12314,12315,(N) Normal,12/12,47,1.6645454545,11
19264,12313 x 12314,12313,12314,(F) Fat,12/12,47,1.56875,8
19256,12313 x 12314,12313,12314,(N) Normal,12/12,47,1.5266666667,3
19257,12313 x 12314,12313,12314,(N) Normal,12/12,47,1.5083333333,6
19221,12309 x 12310,12309,12310,(F) Fat,11/12,46,1.294,15
19214,12309 x 12310,12309,12310,(N) Normal,11/12,46,1.4692307692,13
19215,12309 x 12310,12309,12310,(N) Normal,11/12,46,1.6638461538,13
19207,12308 x 12309,12308,12309,(F) Fat,11/12,46,1.428,15
19200,12308 x 12309,12308,12309,(N) Normal,11/12,46,1.5241666667,12
19179,12306 x 12307,12306,12307,(F) Fat,11/12,46,1.452,15
19173,12306 x 12307,12306,12307,(N) Normal,11/12,46,1.5113333333,15
19151,12304 x 12305,12304,12305,(F) Fat,11/12,46,1.3786666667,15
19144,12304 x 12305,12304,12305,(N) Normal,11/12,46,1.33,15
19137,12302 x 12304,12302,12304,(F) Fat,11/12,46,1.3946666667,15
19138,12302 x 12304,12302,12304,(F) Fat,11/12,46,1.3714285714,14
19130,12302 x 12304,12302,12304,(N) Normal,11/12,46,1.4573333333,15
19131,12302 x 12304,12302,12304,(N) Normal,11/12,46,1.35,14
19095,12299 x 12300,12299,12300,(F) Fat,11/12,46,1.31,15
19088,12299 x 12300,12299,12300,(N) Normal,11/12,46,1.056,15
19089,12299 x 12300,12299,12300,(N) Normal,11/12,46,1.2375,8
19081,12298 x 12299,12298,12299,(F) Fat,11/12,46,1.5457142857,14
19082,12298 x 12299,12298,12299,(F) Fat,11/12,46,1.397,10
19074,12298 x 12299,12298,12299,(N) Normal,11/12,46,1.3173333333,15
19075,12298 x 12299,12298,12299,(N) Normal,11/12,46,1.284,15
19068,12297 x 12284,12297,12284,(F) Fat,11/12,45,1.31875,8
19060,12297 x 12284,12297,12284,(N) Normal,11/12,45,1.6213333333,15
19061,12297 x 12284,12297,12284,(N) Normal,11/12,45,1.7388888889,9
19039,12295 x 12296,12295,12296,(F) Fat,11/12,45,1.3306666667,15
19040,12295 x 12296,12295,12296,(F) Fat,11/12,45,1.0706666667,15
19032,12295 x 12296,12295,12296,(N) Normal,11/12,45,1.202,15
19033,12295 x 12296,12295,12296,(N) Normal,11/12,45,1.4033333333,15
19025,12294 x 12295,12294,12295,(F) Fat,11/12,45,1.6283333333,12
19018,12294 x 12295,12294,12295,(N) Normal,11/12,45,1.5454545455,11
19019,12294 x 12295,12294,12295,(N) Normal,11/12,45,1.48,14
18983,12291 x 12292,12291,12292,(F) Fat,11/12,45,1.56,4
18984,12291 x 12292,12291,12292,(F) Fat,11/12,45,1.742,10
18976,12291 x 12292,12291,12292,(N) Normal,11/12,45,1.6466666667,15
18977,12291 x 12292,12291,12292,(N) Normal,11/12,45,1.5366666667,15
18948,12289 x 12290,12289,12290,(N) Normal,11/12,45,1.495,10
18941,12288 x 12289,12288,12289,(F) Fat,11/12,45,1.56,9
18934,12288 x 12289,12288,12289,(N) Normal,11/12,45,1.4511111111,9
18935,12288 x 12289,12288,12289,(N) Normal,11/12,45,1.648,15
18927,12287 x 12288,12287,12288,(F) Fat,11/12,45,1.376,10
