"vial","cross.type","female.line","male.line","food.type","month.crossed","cross.number","number.weighed","y"
19473,"12336 x 12337",12336,12337,"(F) Fat","12/12",48,10,1.315
19474,"12336 x 12337",12336,12337,"(F) Fat","12/12",48,15,1.1426666667
19466,"12336 x 12337",12336,12337,"(N) Normal","12/12",48,5,1.246
19467,"12336 x 12337",12336,12337,"(N) Normal","12/12",48,15,1.2993333333
19417,"12327 x 12332",12327,12332,"(F) Fat","12/12",47,6,1.5966666667
19410,"12327 x 12332",12327,12332,"(N) Normal","12/12",47,7,1.6871428571
19403,"12324 x 12327",12324,12327,"(F) Fat","12/12",47,9,1.3533333333
19396,"12324 x 12327",12324,12327,"(N) Normal","12/12",47,7,1.1814285714
19397,"12324 x 12327",12324,12327,"(N) Normal","12/12",47,6,1.2916666667
19389,"12323 x 12324",12323,12324,"(F) Fat","12/12",47,7,1.6342857143
19382,"12323 x 12324",12323,12324,"(N) Normal","12/12",47,9,1.6133333333
19383,"12323 x 12324",12323,12324,"(N) Normal","12/12",47,7,1.5385714286
19354,"12321 x 12322",12321,12322,"(N) Normal","12/12",47,9,1.4888888889
19355,"12321 x 12322",12321,12322,"(N) Normal","12/12",47,9,1.6955555556
19340,"12320 x 12321",12320,12321,"(N) Normal","12/12",47,15,1.8973333333
19319,"12317 x 12318",12317,12318,"(F) Fat","12/12",47,11,1.3281818182
19320,"12317 x 12318",12317,12318,"(F) Fat","12/12",47,11,1.3145454545
19312,"12317 x 12318",12317,12318,"(N) Normal","12/12",47,10,1.311
19313,"12317 x 12318",12317,12318,"(N) Normal","12/12",47,14,1.3457142857
19277,"12314 x 12315",12314,12315,"(F) Fat","12/12",47,11,1.5645454545
19278,"12314 x 12315",12314,12315,"(F) Fat","12/12",47,15,1.3533333333
19270,"12314 x 12315",12314,12315,"(N) Normal","12/12",47,15,1.4726666667
19271,"12314 x 12315",12314,12315,"(N) Normal","12/12",47,11,1.6645454545
19264,"12313 x 12314",12313,12314,"(F) Fat","12/12",47,8,1.56875
19256,"12313 x 12314",12313,12314,"(N) Normal","12/12",47,3,1.5266666667
19257,"12313 x 12314",12313,12314,"(N) Normal","12/12",47,6,1.5083333333
19221,"12309 x 12310",12309,12310,"(F) Fat","11/12",46,15,1.294
19214,"12309 x 12310",12309,12310,"(N) Normal","11/12",46,13,1.4692307692
19215,"12309 x 12310",12309,12310,"(N) Normal","11/12",46,13,1.6638461538
19207,"12308 x 12309",12308,12309,"(F) Fat","11/12",46,15,1.428
19200,"12308 x 12309",12308,12309,"(N) Normal","11/12",46,12,1.5241666667
19179,"12306 x 12307",12306,12307,"(F) Fat","11/12",46,15,1.452
19173,"12306 x 12307",12306,12307,"(N) Normal","11/12",46,15,1.5113333333
19151,"12304 x 12305",12304,12305,"(F) Fat","11/12",46,15,1.3786666667
19144,"12304 x 12305",12304,12305,"(N) Normal","11/12",46,15,1.33
19137,"12302 x 12304",12302,12304,"(F) Fat","11/12",46,15,1.3946666667
19138,"12302 x 12304",12302,12304,"(F) Fat","11/12",46,14,1.3714285714
19130,"12302 x 12304",12302,12304,"(N) Normal","11/12",46,15,1.4573333333
19131,"12302 x 12304",12302,12304,"(N) Normal","11/12",46,14,1.35
19095,"12299 x 12300",12299,12300,"(F) Fat","11/12",46,15,1.31
19088,"12299 x 12300",12299,12300,"(N) Normal","11/12",46,15,1.056
19089,"12299 x 12300",12299,12300,"(N) Normal","11/12",46,8,1.2375
19081,"12298 x 12299",12298,12299,"(F) Fat","11/12",46,14,1.5457142857
19082,"12298 x 12299",12298,12299,"(F) Fat","11/12",46,10,1.397
19074,"12298 x 12299",12298,12299,"(N) Normal","11/12",46,15,1.3173333333
19075,"12298 x 12299",12298,12299,"(N) Normal","11/12",46,15,1.284
19068,"12297 x 12284",12297,12284,"(F) Fat","11/12",45,8,1.31875
19060,"12297 x 12284",12297,12284,"(N) Normal","11/12",45,15,1.6213333333
19061,"12297 x 12284",12297,12284,"(N) Normal","11/12",45,9,1.7388888889
19039,"12295 x 12296",12295,12296,"(F) Fat","11/12",45,15,1.3306666667
19040,"12295 x 12296",12295,12296,"(F) Fat","11/12",45,15,1.0706666667
19032,"12295 x 12296",12295,12296,"(N) Normal","11/12",45,15,1.202
19033,"12295 x 12296",12295,12296,"(N) Normal","11/12",45,15,1.4033333333
19025,"12294 x 12295",12294,12295,"(F) Fat","11/12",45,12,1.6283333333
19018,"12294 x 12295",12294,12295,"(N) Normal","11/12",45,11,1.5454545455
19019,"12294 x 12295",12294,12295,"(N) Normal","11/12",45,14,1.48
18983,"12291 x 12292",12291,12292,"(F) Fat","11/12",45,4,1.56
18984,"12291 x 12292",12291,12292,"(F) Fat","11/12",45,10,1.742
18976,"12291 x 12292",12291,12292,"(N) Normal","11/12",45,15,1.6466666667
18977,"12291 x 12292",12291,12292,"(N) Normal","11/12",45,15,1.5366666667
18948,"12289 x 12290",12289,12290,"(N) Normal","11/12",45,10,1.495
18941,"12288 x 12289",12288,12289,"(F) Fat","11/12",45,9,1.56
18934,"12288 x 12289",12288,12289,"(N) Normal","11/12",45,9,1.4511111111
18935,"12288 x 12289",12288,12289,"(N) Normal","11/12",45,15,1.648
18927,"12287 x 12288",12287,12288,"(F) Fat","11/12",45,10,1.376
18928,"12287 x 12288",12287,12288,"(F) Fat","11/12",45,12,1.3758333333
18920,"12287 x 12288",12287,12288,"(N) Normal","11/12",45,11,1.6163636364
18921,"12287 x 12288",12287,12288,"(N) Normal","11/12",45,13,1.5276923077
18885,"12284 x 12285",12284,12285,"(F) Fat","11/12",45,10,1.549
18886,"12284 x 12285",12284,12285,"(F) Fat","11/12",45,14,1.55
18878,"12284 x 12285",12284,12285,"(N) Normal","11/12",45,5,1.664
18879,"12284 x 12285",12284,12285,"(N) Normal","11/12",45,12,1.6966666667
18857,"12281 x 12282",12281,12282,"(F) Fat","11/12",44,11,1.5118181818
18858,"12281 x 12282",12281,12282,"(F) Fat","11/12",44,15,1.5233333333
18850,"12281 x 12282",12281,12282,"(N) Normal","11/12",44,14,1.5857142857
18851,"12281 x 12282",12281,12282,"(N) Normal","11/12",44,15,1.534
18843,"12280 x 12281",12280,12281,"(F) Fat","11/12",44,5,1.492
18836,"12280 x 12281",12280,12281,"(N) Normal","11/12",44,11,1.5263636364
18837,"12280 x 12281",12280,12281,"(N) Normal","11/12",44,14,1.5157142857
18829,"12279 x 12280",12279,12280,"(F) Fat","11/12",44,8,1.485
18822,"12279 x 12280",12279,12280,"(N) Normal","11/12",44,12,1.5466666667
18823,"12279 x 12280",12279,12280,"(N) Normal","11/12",44,9,1.6222222222
18815,"12278 x 12279",12278,12279,"(F) Fat","11/12",44,13,1.3161538462
18816,"12278 x 12279",12278,12279,"(F) Fat","11/12",44,14,1.2207142857
18808,"12278 x 12279",12278,12279,"(N) Normal","11/12",44,15,1.5646666667
18809,"12278 x 12279",12278,12279,"(N) Normal","11/12",44,15,1.498
18801,"12277 x 12278",12277,12278,"(F) Fat","11/12",44,3,1.4633333333
18802,"12277 x 12278",12277,12278,"(F) Fat","11/12",44,5,1.478
18794,"12277 x 12278",12277,12278,"(N) Normal","11/12",44,5,1.688
18795,"12277 x 12278",12277,12278,"(N) Normal","11/12",44,4,1.6175
18745,"12272 x 12273",12272,12273,"(F) Fat","11/12",44,12,1.335
18746,"12272 x 12273",12272,12273,"(F) Fat","11/12",44,9,1.3133333333
18738,"12272 x 12273",12272,12273,"(N) Normal","11/12",44,13,1.4123076923
18739,"12272 x 12273",12272,12273,"(N) Normal","11/12",44,12,1.3641666667
18724,"12271 x 12272",12271,12272,"(N) Normal","11/12",44,15,1.3233333333
18710,"12270 x 12271",12270,12271,"(N) Normal","11/12",44,9,1.5522222222
18661,"12264 x 12265",12264,12265,"(F) Fat","11/12",43,14,1.5621428571
18654,"12264 x 12265",12264,12265,"(N) Normal","11/12",43,8,1.4425
18647,"12263 x 12264",12263,12264,"(F) Fat","11/12",43,15,1.784
18648,"12263 x 12264",12263,12264,"(F) Fat","11/12",43,15,1.648
18640,"12263 x 12264",12263,12264,"(N) Normal","11/12",43,10,1.596
18641,"12263 x 12264",12263,12264,"(N) Normal","11/12",43,14,1.5614285714
18563,"12255 x 12256",12255,12256,"(F) Fat","11/12",43,12,1.4991666667
18556,"12255 x 12256",12255,12256,"(N) Normal","11/12",43,15,1.5166666667
18557,"12255 x 12256",12255,12256,"(N) Normal","11/12",43,15,1.688
18535,"12252 x 12253",12252,12253,"(F) Fat","11/12",43,10,1.602
18536,"12252 x 12253",12252,12253,"(F) Fat","11/12",43,15,1.606
18528,"12252 x 12253",12252,12253,"(N) Normal","11/12",43,8,1.71625
18529,"12252 x 12253",12252,12253,"(N) Normal","11/12",43,14,1.6585714286
18437,"12245 x 12246",12245,12246,"(F) Fat","11/12",42,15,1.8053333333
18438,"12245 x 12246",12245,12246,"(F) Fat","11/12",42,10,1.756
18430,"12245 x 12246",12245,12246,"(N) Normal","11/12",42,15,1.3226666667
18431,"12245 x 12246",12245,12246,"(N) Normal","11/12",42,15,1.7473333333
18423,"12244 x 12245",12244,12245,"(F) Fat","11/12",42,5,1.728
18416,"12244 x 12245",12244,12245,"(N) Normal","11/12",42,9,1.4511111111
18417,"12244 x 12245",12244,12245,"(N) Normal","11/12",42,15,1.5346666667
18402,"12240 x 12244",12240,12244,"(N) Normal","11/12",42,5,1.052
18353,"12236 x 12237",12236,12237,"(F) Fat","11/12",42,9,1.9777777778
18346,"12236 x 12237",12236,12237,"(N) Normal","11/12",42,15,1.604
18227,"12224 x 12225",12224,12225,"(F) Fat","10/12",40,6,1.6066666667
18220,"12224 x 12225",12224,12225,"(N) Normal","10/12",40,4,1.58
18192,"12222 x 12223",12222,12223,"(N) Normal","10/12",40,14,1.3728571429
18185,"12221 x 12222",12221,12222,"(F) Fat","10/12",40,8,1.4575
18186,"12221 x 12222",12221,12222,"(F) Fat","10/12",40,10,1.289
18178,"12221 x 12222",12221,12222,"(N) Normal","10/12",40,15,1.5353333333
18179,"12221 x 12222",12221,12222,"(N) Normal","10/12",40,8,1.69875
18171,"12218 x 12221",12218,12221,"(F) Fat","10/12",40,7,1.5157142857
18164,"12218 x 12221",12218,12221,"(N) Normal","10/12",40,15,1.3953333333
18165,"12218 x 12221",12218,12221,"(N) Normal","10/12",40,8,1.55125
18143,"12216 x 12217",12216,12217,"(F) Fat","10/12",40,13,1.5938461538
18144,"12216 x 12217",12216,12217,"(F) Fat","10/12",40,15,1.4646666667
18136,"12216 x 12217",12216,12217,"(N) Normal","10/12",40,15,1.4406666667
18059,"12208 x 12209",12208,12209,"(F) Fat","10/12",40,10,1.594
18060,"12208 x 12209",12208,12209,"(F) Fat","10/12",40,10,1.581
