vial,cross,female line,male line,food,month crossed,cross number,number weighed,average wt per vial
19466,12336 x 12337,12336,12337,(N) Normal,12/12,48,9,1.12
19467,12336 x 12337,12336,12337,(N) Normal,12/12,48,15,1.1193333333
19473,12336 x 12337,12336,12337,(F) Fat,12/12,48,6,1.0516666667
19474,12336 x 12337,12336,12337,(F) Fat,12/12,48,11,1.0127272727
19410,12327 x 12332,12327,12332,(N) Normal,12/12,47,5,1.104
19417,12327 x 12332,12327,12332,(F) Fat,12/12,47,8,1.275
19396,12324 x 12327,12324,12327,(N) Normal,12/12,47,7,1.0442857143
19397,12324 x 12327,12324,12327,(N) Normal,12/12,47,6,1.1766666667
19403,12324 x 12327,12324,12327,(F) Fat,12/12,47,12,1.085
19382,12323 x 12324,12323,12324,(N) Normal,12/12,47,4,1.1025
19383,12323 x 12324,12323,12324,(N) Normal,12/12,47,12,1.1116666667
19389,12323 x 12324,12323,12324,(F) Fat,12/12,47,6,1.265
19354,12321 x 12322,12321,12322,(N) Normal,12/12,47,9,1.18
19355,12321 x 12322,12321,12322,(N) Normal,12/12,47,14,1.24
19340,12320 x 12321,12320,12321,(N) Normal,12/12,47,15,1.3146666667
19312,12317 x 12318,12317,12318,(N) Normal,12/12,47,11,1.0418181818
19313,12317 x 12318,12317,12318,(N) Normal,12/12,47,11,1.0854545455
19319,12317 x 12318,12317,12318,(F) Fat,12/12,47,7,0.9942857143
19320,12317 x 12318,12317,12318,(F) Fat,12/12,47,9,1.0622222222
19270,12314 x 12315,12314,12315,(N) Normal,12/12,47,13,1.1915384615
19271,12314 x 12315,12314,12315,(N) Normal,12/12,47,15,1.2306666667
19277,12314 x 12315,12314,12315,(F) Fat,12/12,47,15,1.1586666667
19278,12314 x 12315,12314,12315,(F) Fat,12/12,47,15,1.1606666667
19256,12313 x 12314,12313,12314,(N) Normal,12/12,47,12,1.0966666667
19257,12313 x 12314,12313,12314,(N) Normal,12/12,47,5,1.372
19264,12313 x 12314,12313,12314,(F) Fat,12/12,47,4,1.38
19214,12309 x 12310,12309,12310,(N) Normal,11/12,46,28,1.2042857143
