vial,cross type,female line,male line,food type,month crossed,cross number,plate,y
8002,11011 X 11022,11011,11022,(N) Normal,12-Feb,3,1,0.0168531
8002,11011 X 11022,11011,11022,(N) Normal,12-Feb,3,1,0.1048213
8002,11011 X 11022,11011,11022,(N) Normal,12-Feb,3,1,0.3404274
8009,11011 X 11022,11011,11022,(F) Fat,12-Feb,3,1,0.0559015
8009,11011 X 11022,11011,11022,(F) Fat,12-Feb,3,1,0.0593475
8009,11011 X 11022,11011,11022,(F) Fat,12-Feb,3,1,0.1516191
14428,11011 X 11023,11011,11023,(N) Normal,12-Jul,26,47,0.7033106
14428,11011 X 11023,11011,11023,(N) Normal,12-Jul,26,46,0.8844692
14435,11011 X 11023,11011,11023,(F) Fat,12-Jul,26,40,1.2191324
8016,11022 X 11023,11022,11023,(N) Normal,12-Feb,3,1,0.209998
8016,11022 X 11023,11022,11023,(N) Normal,12-Feb,3,1,0.2759073
8016,11022 X 11023,11022,11023,(N) Normal,12-Feb,3,1,0.2957416
8023,11022 X 11023,11022,11023,(F) Fat,12-Feb,3,1,0.5402013
8023,11022 X 11023,11022,11023,(F) Fat,12-Feb,3,1,0.6988134
8023,11022 X 11023,11022,11023,(F) Fat,12-Feb,3,1,0.7138151
8030,11023 X 11024,11023,11024,(N) Normal,12-Feb,3,1,0.4410939
8030,11023 X 11024,11023,11024,(N) Normal,12-Feb,3,1,0.6343201
14449,11023 X 11027,11023,11027,(F) Fat,12-Jul,26,42,0.611905
14449,11023 X 11027,11023,11027,(F) Fat,12-Jul,26,42,0.6358989
14449,11023 X 11027,11023,11027,(F) Fat,12-Jul,26,42,0.8977886
8044,11025 X 11027,11025,11027,(N) Normal,12-Feb,3,1,0.1946298
8044,11025 X 11027,11025,11027,(N) Normal,12-Feb,3,1,0.1964501
8044,11025 X 11027,11025,11027,(N) Normal,12-Feb,3,1,0.2934162
8051,11025 X 11027,11025,11027,(F) Fat,12-Feb,3,4,0.3130101
8051,11025 X 11027,11025,11027,(F) Fat,12-Feb,3,4,0.4528822
8058,11027 X 11030,11027,11030,(N) Normal,12-Feb,3,1,0.1052967
8058,11027 X 11030,11027,11030,(N) Normal,12-Feb,3,1,0.2528017
8065,11027 X 11030,11027,11030,(F) Fat,12-Feb,3,4,0.2948642
8065,11027 X 11030,11027,11030,(F) Fat,12-Feb,3,4,0.4074989
8065,11027 X 11030,11027,11030,(F) Fat,12-Feb,3,4,0.4493462
14470,11027 X 11035,11027,11035,(N) Normal,12-Jul,26,39,0.7059546
14470,11027 X 11035,11027,11035,(N) Normal,12-Jul,26,39,1.0034647
8170,11028 X 11031,11028,11031,(N) Normal,12-Feb,4,1,0.1535812
8170,11028 X 11031,11028,11031,(N) Normal,12-Feb,4,1,0.2693142
8177,11028 X 11031,11028,11031,(F) Fat,12-Feb,4,1,0.2674052
8177,11028 X 11031,11028,11031,(F) Fat,12-Feb,4,1,0.3499302
8072,11031 X 11032,11031,11032,(N) Normal,12-Feb,3,1,0.2698806
8072,11031 X 11032,11031,11032,(N) Normal,12-Feb,3,1,0.2781748
8072,11031 X 11032,11031,11032,(N) Normal,12-Feb,3,1,0.327012
8079,11031 X 11032,11031,11032,(F) Fat,12-Feb,3,4,0.3641169
8079,11031 X 11032,11031,11032,(F) Fat,12-Feb,3,4,0.4359928
8079,11031 X 11032,11031,11032,(F) Fat,12-Feb,3,4,0.5174385
8086,11032 X 11033,11032,11033,(N) Normal,12-Feb,3,4,0.1822553
8086,11032 X 11033,11032,11033,(N) Normal,12-Feb,3,4,0.3582806
8093,11032 X 11033,11032,11033,(F) Fat,12-Feb,3,4,0.18344
8093,11032 X 11033,11032,11033,(F) Fat,12-Feb,3,4,0.3325041
8093,11032 X 11033,11032,11033,(F) Fat,12-Feb,3,4,0.3520414
8100,11033 X 11034,11033,11034,(N) Normal,12-Feb,3,1,0.009812
8100,11033 X 11034,11033,11034,(N) Normal,12-Feb,3,1,0.1684831
8100,11033 X 11034,11033,11034,(N) Normal,12-Feb,3,1,0.2439122
8107,11033 X 11034,11033,11034,(F) Fat,12-Feb,3,1,0.1746875
8107,11033 X 11034,11033,11034,(F) Fat,12-Feb,3,1,0.2645167
8107,11033 X 11034,11033,11034,(F) Fat,12-Feb,3,1,0.5484988
8156,11034 X 11011,11034,11011,(N) Normal,12-Feb,4,3,0.226272
8436,11034 X 11028,11034,11028,(N) Normal,12-Feb,5,4,0.2779548
8443,11034 X 11028,11034,11028,(F) Fat,12-Feb,5,4,0.4267199
8443,11034 X 11028,11034,11028,(F) Fat,12-Feb,5,4,0.4688215
14484,11034 X 11040,11034,11040,(N) Normal,12-Jul,26,47,0.490403
14484,11034 X 11040,11034,11040,(N) Normal,12-Jul,26,43,0.7068341
14484,11034 X 11040,11034,11040,(N) Normal,12-Jul,26,42,0.8105469
14491,11034 X 11040,11034,11040,(F) Fat,12-Jul,26,39,0.7505634
14491,11034 X 11040,11034,11040,(F) Fat,12-Jul,26,39,1.0321843
14491,11034 X 11040,11034,11040,(F) Fat,12-Jul,26,39,1.2591092
8189,11035 X 11036,11035,11036,(F) Fat,12-Feb,4,1,0.3412077
8184,11035 X 11036,11035,11036,(N) Normal,12-Feb,4,1,0.2007895
8184,11035 X 11036,11035,11036,(N) Normal,12-Feb,4,1,0.2245836
8184,11035 X 11036,11035,11036,(N) Normal,12-Feb,4,1,0.4167805
8191,11035 X 11036,11035,11036,(F) Fat,12-Feb,4,1,0.2521903
14498,11035 X 11042,11035,11042,(N) Normal,12-Jul,26,40,0.4488286
14498,11035 X 11042,11035,11042,(N) Normal,12-Jul,26,40,0.4604275
14498,11035 X 11042,11035,11042,(N) Normal,12-Jul,26,40,0.5742752
14505,11035 X 11042,11035,11042,(F) Fat,12-Jul,26,45,0.5623312
14505,11035 X 11042,11035,11042,(F) Fat,12-Jul,26,44,0.7067751
14505,11035 X 11042,11035,11042,(F) Fat,12-Jul,26,43,0.7246441
8198,11036 X 11037,11036,11037,(N) Normal,12-Feb,4,1,0.2178564
8198,11036 X 11037,11036,11037,(N) Normal,12-Feb,4,1,0.2235254
8198,11036 X 11037,11036,11037,(N) Normal,12-Feb,4,1,0.2791868
8205,11036 X 11037,11036,11037,(F) Fat,12-Feb,4,2,0.1531532
8205,11036 X 11037,11036,11037,(F) Fat,12-Feb,4,2,0.1761346
8205,11036 X 11037,11036,11037,(F) Fat,12-Feb,4,2,0.2711839
8212,11037 X 11038,11037,11038,(N) Normal,12-Feb,4,3,0.1734214
8212,11037 X 11038,11037,11038,(N) Normal,12-Feb,4,3,0.284034
8219,11037 X 11038,11037,11038,(F) Fat,12-Feb,4,3,0.18147
8219,11037 X 11038,11037,11038,(F) Fat,12-Feb,4,3,0.2142861
8226,11038 X 11039,11038,11039,(N) Normal,12-Feb,4,2,0.1683027
8226,11038 X 11039,11038,11039,(N) Normal,12-Feb,4,2,0.1928748
8226,11038 X 11039,11038,11039,(N) Normal,12-Feb,4,2,0.6133347
8233,11038 X 11039,11038,11039,(F) Fat,12-Feb,4,2,0.228428
8233,11038 X 11039,11038,11039,(F) Fat,12-Feb,4,2,0.2624122
8240,11039 X 11041,11039,11041,(N) Normal,12-Feb,4,2,0.1288493
8240,11039 X 11041,11039,11041,(N) Normal,12-Feb,4,2,0.2368551
8240,11039 X 11041,11039,11041,(N) Normal,12-Feb,4,2,0.3640136
8247,11039 X 11041,11039,11041,(F) Fat,12-Feb,4,2,0.0998425
8247,11039 X 11041,11039,11041,(F) Fat,12-Feb,4,2,0.2609016
14512,11040 X 11044,11040,11044,(N) Normal,12-Jul,26,39,0.5756873
14512,11040 X 11044,11040,11044,(N) Normal,12-Jul,26,39,0.7490691
14519,11040 X 11044,11040,11044,(F) Fat,12-Jul,26,43,0.6970916
14519,11040 X 11044,11040,11044,(F) Fat,12-Jul,26,44,0.6986082
14519,11040 X 11044,11040,11044,(F) Fat,12-Jul,26,47,0.9757999
8450,11040 X 11045,11040,11045,(N) Normal,12-Feb,5,4,0.2295628
8457,11040 X 11045,11040,11045,(F) Fat,12-Feb,5,4,0.2214347
8254,11041 X 11042,11041,11042,(N) Normal,12-Feb,4,3,0.159643
8254,11041 X 11042,11041,11042,(N) Normal,12-Feb,4,3,0.166949
8254,11041 X 11042,11041,11042,(N) Normal,12-Feb,4,3,1.0624224
8261,11041 X 11042,11041,11042,(F) Fat,12-Feb,4,2,0.1237678
8261,11041 X 11042,11041,11042,(F) Fat,12-Feb,4,2,0.1742559
8261,11041 X 11042,11041,11042,(F) Fat,12-Feb,4,2,0.2173523
8268,11042 X 11043,11042,11043,(N) Normal,12-Feb,4,2,0.1486715
8275,11042 X 11043,11042,11043,(F) Fat,12-Feb,4,2,0.1512872
8275,11042 X 11043,11042,11043,(F) Fat,12-Feb,4,2,0.166612
8275,11042 X 11043,11042,11043,(F) Fat,12-Feb,4,2,0.2570142
14526,11042 X 11045,11042,11045,(N) Normal,12-Jul,26,47,0.7925653
14526,11042 X 11045,11042,11045,(N) Normal,12-Jul,26,47,0.9664189
14526,11042 X 11045,11042,11045,(N) Normal,12-Jul,26,45,1.098942
14533,11042 X 11045,11042,11045,(F) Fat,12-Jul,26,42,1.1286628
14533,11042 X 11045,11042,11045,(F) Fat,12-Jul,26,45,1.187124
14533,11042 X 11045,11042,11045,(F) Fat,12-Jul,26,42,1.292103
8282,11043 X 11044,11043,11044,(N) Normal,12-Feb,4,2,0.024725
8282,11043 X 11044,11043,11044,(N) Normal,12-Feb,4,2,0.0293833
8282,11043 X 11044,11043,11044,(N) Normal,12-Feb,4,2,0.0384894
8289,11043 X 11044,11043,11044,(F) Fat,12-Feb,4,2,0.0714509
8289,11043 X 11044,11043,11044,(F) Fat,12-Feb,4,2,0.1179938
8289,11043 X 11044,11043,11044,(F) Fat,12-Feb,4,2,0.3016203
14540,11043 X 11046,11043,11046,(N) Normal,12-Jul,26,47,0.7315891
14540,11043 X 11046,11043,11046,(N) Normal,12-Jul,26,43,0.838362
14540,11043 X 11046,11043,11046,(N) Normal,12-Jul,26,42,0.8530086
14547,11043 X 11046,11043,11046,(F) Fat,12-Jul,26,46,0.6015067
14547,11043 X 11046,11043,11046,(F) Fat,12-Jul,26,45,0.7030984
14547,11043 X 11046,11043,11046,(F) Fat,12-Jul,26,42,0.7626023
8464,11044 X 11035,11044,11035,(N) Normal,12-Feb,5,4,0.2449478
8464,11044 X 11035,11044,11035,(N) Normal,12-Feb,5,4,0.2589816
8464,11044 X 11035,11044,11035,(N) Normal,12-Feb,5,4,0.3058646
8471,11044 X 11035,11044,11035,(F) Fat,12-Feb,5,4,0.3421898
8296,11044 X 11046,11044,11046,(N) Normal,12-Feb,4,2,0.0439488
8296,11044 X 11046,11044,11046,(N) Normal,12-Feb,4,2,0.0469689
8296,11044 X 11046,11044,11046,(N) Normal,12-Feb,4,2,0.0843909
8303,11044 X 11046,11044,11046,(F) Fat,12-Feb,4,3,0.2733892
8303,11044 X 11046,11044,11046,(F) Fat,12-Feb,4,3,0.3112242
14554,11044 X 11050,11044,11050,(N) Normal,12-Jul,26,47,0.5840201
14554,11044 X 11050,11044,11050,(N) Normal,12-Jul,26,47,0.6930499
14554,11044 X 11050,11044,11050,(N) Normal,12-Jul,26,47,0.8244448
14561,11044 X 11050,11044,11050,(F) Fat,12-Jul,26,44,0.6018941
14561,11044 X 11050,11044,11050,(F) Fat,12-Jul,26,46,0.6587581
14561,11044 X 11050,11044,11050,(F) Fat,12-Jul,26,45,0.6818697
8478,11045 X 11047,11045,11047,(N) Normal,12-Feb,5,4,0.2628283
8478,11045 X 11047,11045,11047,(N) Normal,12-Feb,5,4,0.3628276
8485,11045 X 11047,11045,11047,(F) Fat,12-Feb,5,4,0.1664937
8485,11045 X 11047,11045,11047,(F) Fat,12-Feb,5,4,0.2205745
8485,11045 X 11047,11045,11047,(F) Fat,12-Feb,5,4,0.2473234
14569,11045 X 11051,11045,11051,(N) Normal,12-Jul,26,43,0.6574694
14572,11045 X 11051,11045,11051,(N) Normal,12-Jul,26,40,0.6570626
14578,11045 X 11051,11045,11051,(F) Fat,12-Jul,26,40,0.9724828
14568,11045 X 11051,11045,11051,(N) Normal,12-Jul,26,43,0.8023327
14568,11045 X 11051,11045,11051,(N) Normal,12-Jul,26,45,1.311124
8310,11046 X 11049,11046,11049,(N) Normal,12-Feb,4,2,0.1461256
8310,11046 X 11049,11046,11049,(N) Normal,12-Feb,4,2,0.2501187
8310,11046 X 11049,11046,11049,(N) Normal,12-Feb,4,2,0.4941378
8317,11046 X 11049,11046,11049,(F) Fat,12-Feb,4,2,0.131761
