vial,cross,female line,male line,food,month crossed,cross number,plate,TG_concentration
19468,12336 x 12337,12336,12337,(N) Normal,12/12,48,82,0.2005095
19468,12336 x 12337,12336,12337,(N) Normal,12/12,48,82,0.4722979
19468,12336 x 12337,12336,12337,(N) Normal,12/12,48,79,0.1988163
19475,12336 x 12337,12336,12337,(F) Fat,12/12,48,83,0.3873551
19475,12336 x 12337,12336,12337,(F) Fat,12/12,48,83,0.7739798
19475,12336 x 12337,12336,12337,(F) Fat,12/12,48,79,0.6067269
19412,12327 x 12332,12327,12332,(N) Normal,12/12,47,88,0.71383099
19419,12327 x 12332,12327,12332,(F) Fat,12/12,47,88,0.54852034
19419,12327 x 12332,12327,12332,(F) Fat,12/12,47,88,0.78567239
19405,12324 x 12327,12324,12327,(F) Fat,12/12,47,88,0.65986467
19405,12324 x 12327,12324,12327,(F) Fat,12/12,47,88,0.81616372
19405,12324 x 12327,12324,12327,(F) Fat,12/12,47,88,0.82988456
19356,12321 x 12322,12321,12322,(N) Normal,12/12,47,88,0.54397925
19356,12321 x 12322,12321,12322,(N) Normal,12/12,47,88,0.55345459
19356,12321 x 12322,12321,12322,(N) Normal,12/12,47,88,0.73723346
19363,12321 x 12322,12321,12322,(F) Fat,12/12,47,88,0.59216136
19363,12321 x 12322,12321,12322,(F) Fat,12/12,47,88,0.6376455
19363,12321 x 12322,12321,12322,(F) Fat,12/12,47,88,0.76244091
19314,12317 x 12318,12317,12318,(N) Normal,12/12,47,88,0.62780177
19314,12317 x 12318,12317,12318,(N) Normal,12/12,47,88,0.67913447
19314,12317 x 12318,12317,12318,(N) Normal,12/12,47,88,0.70051932
19317,12317 x 12318,12317,12318,(N) Normal,12/12,47,79,0.3181434
19321,12317 x 12318,12317,12318,(F) Fat,12/12,47,88,0.59910517
19321,12317 x 12318,12317,12318,(F) Fat,12/12,47,88,0.64275559
19321,12317 x 12318,12317,12318,(F) Fat,12/12,47,88,0.67662339
19272,12314 x 12315,12314,12315,(N) Normal,12/12,47,82,0.5973301
19272,12314 x 12315,12314,12315,(N) Normal,12/12,47,80,0.4204854
19279,12314 x 12315,12314,12315,(F) Fat,12/12,47,88,0.59077477
19279,12314 x 12315,12314,12315,(F) Fat,12/12,47,88,0.60525569
19279,12314 x 12315,12314,12315,(F) Fat,12/12,47,88,0.66729422
19257,12313 x 12314,12313,12314,(N) Normal,12/12,47,83,0.7215804
19258,12313 x 12314,12313,12314,(N) Normal,12/12,47,81,0.5650746
19258,12313 x 12314,12313,12314,(N) Normal,12/12,47,80,0.3283642
19258,12313 x 12314,12313,12314,(N) Normal,12/12,47,80,0.4017446
19265,12313 x 12314,12313,12314,(F) Fat,12/12,47,88,0.75535455
19265,12313 x 12314,12313,12314,(F) Fat,12/12,47,88,0.75736407
19265,12313 x 12314,12313,12314,(F) Fat,12/12,47,88,0.89456631
19216,12309 x 12310,12309,12310,(N) Normal,11/12,46,81,0.5798248
19216,12309 x 12310,12309,12310,(N) Normal,11/12,46,80,0.4526244
19216,12309 x 12310,12309,12310,(N) Normal,11/12,46,79,0.4370525
19223,12309 x 12310,12309,12310,(F) Fat,11/12,46,82,0.9927243
19223,12309 x 12310,12309,12310,(F) Fat,11/12,46,80,0.4142518
19223,12309 x 12310,12309,12310,(F) Fat,11/12,46,80,0.4873003
19209,12308 x 12309,12308,12309,(F) Fat,11/12,46,80,0.5044919
19188,12307 x 12308,12307,12308,(N) Normal,11/12,46,82,0.4424107
19188,12307 x 12308,12307,12308,(N) Normal,11/12,46,80,0.4145066
19174,12306 x 12307,12306,12307,(N) Normal,11/12,46,83,0.3687813
19174,12306 x 12307,12306,12307,(N) Normal,11/12,46,83,0.416891
19174,12306 x 12307,12306,12307,(N) Normal,11/12,46,82,0.9220909
19181,12306 x 12307,12306,12307,(F) Fat,11/12,46,82,0.3869075
19181,12306 x 12307,12306,12307,(F) Fat,11/12,46,81,0.3251251
19146,12304 x 12305,12304,12305,(N) Normal,11/12,46,83,0.3696337
19146,12304 x 12305,12304,12305,(N) Normal,11/12,46,83,0.3846611
19146,12304 x 12305,12304,12305,(N) Normal,11/12,46,81,0.6416
19153,12304 x 12305,12304,12305,(F) Fat,11/12,46,83,0.2672083
19153,12304 x 12305,12304,12305,(F) Fat,11/12,46,81,0.3792257
19153,12304 x 12305,12304,12305,(F) Fat,11/12,46,73,0.4253181
19132,12302 x 12304,12302,12304,(N) Normal,11/12,46,82,1.1696492
19132,12302 x 12304,12302,12304,(N) Normal,11/12,46,80,0.4832351
19132,12302 x 12304,12302,12304,(N) Normal,11/12,46,80,0.4878977
19139,12302 x 12304,12302,12304,(F) Fat,11/12,46,82,0.6328168
19139,12302 x 12304,12302,12304,(F) Fat,11/12,46,82,0.7099686
19139,12302 x 12304,12302,12304,(F) Fat,11/12,46,80,0.2693446
19097,12299 x 12300,12299,12300,(F) Fat,11/12,46,81,0.6959957
19097,12299 x 12300,12299,12300,(F) Fat,11/12,46,81,0.7287088
19076,12298 x 12299,12298,12299,(N) Normal,11/12,46,83,0.5436395
19076,12298 x 12299,12298,12299,(N) Normal,11/12,46,81,0.4192011
19076,12298 x 12299,12298,12299,(N) Normal,11/12,46,80,0.5031768
19077,12298 x 12299,12298,12299,(N) Normal,11/12,46,82,0.8347937
19083,12298 x 12299,12298,12299,(F) Fat,11/12,46,83,0.8734923
19083,12298 x 12299,12298,12299,(F) Fat,11/12,46,82,0.3769497
19083,12298 x 12299,12298,12299,(F) Fat,11/12,46,79,0.321227
19062,12297 x 12284,12297,12284,(N) Normal,11/12,45,81,0.3471518
19069,12297 x 12284,12297,12284,(F) Fat,11/12,45,80,0.4578393
19048,12296 x 12297,12296,12297,(N) Normal,11/12,45,78,0.4275158
19048,12296 x 12297,12296,12297,(N) Normal,11/12,45,77,0.5170004
19048,12296 x 12297,12296,12297,(N) Normal,11/12,45,74,0.5428529
19055,12296 x 12297,12296,12297,(F) Fat,11/12,45,81,0.8443138
19055,12296 x 12297,12296,12297,(F) Fat,11/12,45,80,0.9313101
19055,12296 x 12297,12296,12297,(F) Fat,11/12,45,79,1.1398472
19034,12295 x 12296,12295,12296,(N) Normal,11/12,45,77,0.3738932
19034,12295 x 12296,12295,12296,(N) Normal,11/12,45,77,0.5006081
19041,12295 x 12296,12295,12296,(F) Fat,11/12,45,79,0.8123872
19020,12294 x 12295,12294,12295,(N) Normal,11/12,45,83,0.8272306
19021,12294 x 12295,12294,12295,(N) Normal,11/12,45,83,0.3745404
19027,12294 x 12295,12294,12295,(F) Fat,11/12,45,81,0.4793676
19027,12294 x 12295,12294,12295,(F) Fat,11/12,45,79,0.5371773
18978,12291 x 12292,12291,12292,(N) Normal,11/12,45,78,0.3799613
