"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
1,7229.27072796422,7250.61601263302,7279.97402392674,7283.97685553532,7295.23333772954,7312.94568860231
2,7229.27068358946,7250.62422357979,7279.99184838013,7283.99349640079,7295.25202519068,7312.96294860845
3,7229.27064230997,7250.63284061471,7280.00869032057,7284.01105459684,7295.27256854556,7312.98362626399
4,7229.2705945075,7250.63940582572,7280.01151334245,7284.01516871653,7295.27824832857,7312.98851550985
5,7229.27055470617,7250.64755602788,7280.02379460082,7284.02654271487,7295.29152518058,7313.00142847684
6,7229.27050937089,7250.65905109526,7280.05290099965,7284.05629504074,7295.32560288437,7313.03478047697
7,7229.2704509051,7250.66660371934,7280.04904178415,7284.05269145966,7295.32291722138,7313.03302049113
8,7229.2703962543,7250.67579747643,7280.05098596332,7284.05704751377,7295.3290169204,7313.03762520668
9,7229.27034893884,7250.68711358303,7280.0690987589,7284.07535112727,7295.35025013532,7313.05872383737
10,7229.27029284107,7250.70011053761,7280.09179633067,7284.09838728048,7295.37683829312,7313.08477583986
11,7229.27024131889,7250.71235611854,7280.10600160778,7284.11399355061,7295.39460723055,7313.10119327728
12,7229.27019107395,7250.7225514682,7280.10942994669,7284.11800912162,7295.40151083426,7313.10830929075
13,7229.27013531619,7250.73398923533,7280.1166380545,7284.12728209429,7295.41241443499,7313.11910588864
14,7229.27007786934,7250.74819186986,7280.12936909487,7284.14120876498,7295.42932159019,7313.13488178706
15,7229.2700180466,7250.76205945048,7280.13572937871,7284.1495773137,7295.44116316573,7313.14691984008
16,7229.26995827315,7250.77910845593,7280.15693219382,7284.17193688679,7295.46636972615,7313.172573561
17,7229.26989901108,7250.79631471487,7280.1731075138,7284.18924458129,7295.48815353625,7313.19505363129
18,7229.26986283312,7250.80982737983,7280.19564640045,7284.2178067634,7295.52312235185,7313.23225748498
19,7229.26982254604,7250.82742030565,7280.22071681531,7284.24695290001,7295.5587579397,7313.27155424965
20,7229.26977794732,7250.84381750015,7280.24787900602,7284.28021791064,7295.59964494794,7313.31638767321
21,7229.26973638863,7250.8607442924,7280.25851796397,7284.29600591371,7295.61892175619,7313.3398859801
22,7229.26969952739,7250.88028263843,7280.2810047786,7284.3252546614,7295.65352349743,7313.37693234006
23,7229.26965625283,7250.8967809753,7280.28253184147,7284.33374268978,7295.66548328134,7313.39127739622
24,7229.26962536681,7250.91560673224,7280.29269478559,7284.34895907312,7295.68486665559,7313.41545069306
25,7229.26957202841,7250.93524046899,7280.28815668701,7284.35201337758,7295.69005716306,7313.42294083165
26,7229.2695369302,7250.95851812595,7280.30060521313,7284.37033353586,7295.71146918732,7313.44693941897
27,7229.26949829523,7250.97827688105,7280.29243348943,7284.36852425152,7295.71150038707,7313.44971351768
28,7229.26945752538,7251.00043997444,7280.28352989087,7284.36636047732,7295.71009441541,7313.4506505479
29,7229.26940857442,7251.02006176516,7280.27157290904,7284.36111282947,7295.7046478292,7313.44792723684
30,7229.26937416277,7251.04647614088,7280.26530351444,7284.36076216726,7295.70604805964,7313.45194880089
31,7229.26930917732,7251.07410094852,7280.26019086303,7284.35898379199,7295.70426767368,7313.44952803722
32,7229.26922639187,7251.10104925804,7280.23620501092,7284.3347687424,7295.67910112974,7313.42174701082
33,7229.26914355712,7251.13255012982,7280.2190635538,7284.31776121249,7295.66243454329,7313.401943149
34,7229.26904930435,7251.17194984505,7280.20065746258,7284.29941548362,7295.64363409161,7313.37916615693
35,7229.26895467708,7251.21700488622,7280.19449125468,7284.29249890542,7295.63810417331,7313.37229882082
36,7229.26885776028,7251.26217791272,7280.17979274448,7284.27618463297,7295.62198908486,7313.35345790633
37,7229.2687683198,7251.31655502934,7280.17674324041,7284.2730317997,7295.62018313909,7313.349247444
38,7229.26866559708,7251.36648312801,7280.1537632552,7284.24967254592,7295.5962157929,7313.32179020035
39,7229.26858166932,7251.42923778336,7280.1475937357,7284.24239228323,7295.59028345001,7313.3129732584
40,7229.26848722184,7251.48963435034,7280.13229129736,7284.2263866155,7295.57422587522,7313.29353534671
41,7229.26838649811,7251.55431347814,7280.11653462044,7284.20980854554,7295.55864723769,7313.27583111152
42,7229.26829711075,7251.62335317772,7280.09890940488,7284.1917226371,7295.54004914046,7313.25409902541
43,7229.26819912836,7251.69645133603,7280.08661707252,7284.17807107706,7295.52733781666,7313.23883781307
44,7229.26810997497,7251.77707543346,7280.07614527145,7284.1678267567,7295.51820238071,7313.22610302712
45,7229.26802119667,7251.85430766372,7280.06181076863,7284.15264639789,7295.50301501289,7313.20906276786
46,7229.26792254298,7251.93192892105,7280.04750494022,7284.13728260986,7295.48833567413,7313.19121060149
47,7229.2678281066,7252.00483269654,7280.02579925422,7284.11554804679,7295.46625311969,7313.16643679475
48,7229.2677404869,7252.06982775177,7280.00406941458,7284.09324967765,7295.44431634126,7313.14191127294
49,7229.2676401009,7252.14300463881,7279.99396768547,7284.08289429814,7295.43488705555,7313.12992728896
50,7229.2675371794,7252.20599137237,7279.97707222768,7284.06541001668,7295.41733999554,7313.10982139275
51,7229.26743251702,7252.25521438938,7279.95978471009,7284.0473489594,7295.39950638096,7313.08931196223
52,7229.26734795542,7252.28687361207,7279.93517826117,7284.02277135697,7295.3743524628,7313.06102592187
53,7229.26709364691,7252.21468790993,7279.84424130353,7283.93389620152,7295.27856184298,7312.96027286691
54,7229.2664824173,7251.98554103166,7279.64104207787,7283.73695321042,7295.0638799469,7312.73755548508
55,7229.2658739584,7251.75908786717,7279.43815497057,7283.54113234444,7294.8492830694,7312.51501178749
56,7229.26524228586,7251.54700383394,7279.24862743125,7283.35883103296,7294.64912203243,7312.3080137515
57,7229.26460864493,7251.33984790057,7279.06201549794,7283.18052815113,7294.4521572037,7312.10501073917
58,7229.26396284425,7251.14805371658,7278.89062878419,7283.01718004109,7294.27067520962,7311.91798699538
59,7229.26330560151,7250.96672733385,7278.7296313246,7282.8645319783,7294.10088786857,7311.74361853474
60,7229.26262536257,7250.78958891185,7278.57451981424,7282.71880025703,7293.93776325792,7311.57711907132
61,7229.26192735209,7250.62470994327,7278.43001588403,7282.58370037323,7293.78602690298,7311.42245246996
62,7229.26119993462,7250.46828944038,7278.29580522035,7282.45972871068,7293.64587004169,7311.27984506506
63,7229.26044073465,7250.32536734784,7278.17472239044,7282.34860952218,7293.51978239775,7311.15204077793
64,7229.25964220141,7250.19342326351,7278.06638837613,7282.25040728579,7293.40778252922,7311.03912694014
65,7229.25878120471,7250.06910780988,7277.96503866797,7282.15986249504,7293.30415235939,7310.93476335031
66,7229.25784653834,7249.95424291804,7277.87511497072,7282.08094433776,7293.21317501689,7310.84272852711
67,7229.25680902533,7249.85286663395,7277.79602565029,7282.01293334385,7293.13446590837,7310.7626658495
68,7229.25597548777,7249.75519900685,7277.72225297881,7281.95139595071,7293.064606088,7310.69056796275
69,7229.25664219676,7249.64349224932,7277.63964984979,7281.88500632828,7292.99525850648,7310.16182548453
70,7229.25690229668,7249.54363948157,7277.56719843393,7281.82996273455,7292.93897609132,7310.09843784591
71,7229.25597307754,7249.45786447637,7277.50058772572,7281.78406212432,7292.88889371011,7310.03753103814
72,7229.25161727394,7249.37022127945,7277.44977241589,7281.77893508268,7292.8350476679,7309.9981637462
73,7229.22778281533,7249.1472906753,7277.3580562696,7281.78201744461,7292.4831532056,7309.86252481471
74,7229.04842309078,7245.83135443688,7277.73255817166,7282.59874283042,7292.06850668461,7309.1634787222
75,7229.0445840716,7245.74255062776,7277.73747656358,7282.59342300937,7292.03781456047,7309.13579205949
76,7229.04082203402,7245.65315672782,7277.74240596335,7282.58853243038,7292.00770106684,7309.10866121528
77,7229.03715117709,7245.56524034049,7277.74631964336,7282.58222458095,7291.97577210539,7309.07978055585
78,7229.03359096032,7245.47745303241,7277.75068588614,7282.5762742337,7291.94275995618,7309.04871091756
79,7229.0300372036,7245.38106261752,7277.75178624432,7282.56740934086,7291.9053118621,7309.01567702093
80,7229.02653910381,7245.2380849396,7277.69971589086,7282.42315918938,7291.77355451709,7308.8837230936
81,7229.02327358446,7245.12562207015,7277.69158846043,7282.39820542492,7291.72190405578,7308.83934599951
82,7229.02027359322,7245.01556675417,7277.68305159619,7282.37383217279,7291.66888821968,7308.79354543061
83,7229.01759038897,7244.90239959096,7277.66445187809,7282.33968204119,7291.60559974067,7308.73642618682
84,7229.01529236312,7244.79042534413,7277.6464429567,7282.30682617136,7291.54421080663,7308.68170484806
85,7229.01343069542,7244.67657440941,7277.61536793249,7282.26077394039,7291.46922601445,7308.61339650525
86,7229.01209113248,7244.56406739435,7277.57705007463,7282.2077416412,7291.38739447477,7308.33072341392
87,7229.01135106589,7244.45194995582,7277.52810871102,7282.1437928622,7291.29621779593,7307.24242704149
88,7229.01130783836,7244.33872598057,7275.98731177212,7280.73989217558,7290.21607481729,7306.33868146969
89,7229.01206506952,7244.22522056435,7275.91089172266,7280.65668466715,7290.10659343699,7306.24228854219
90,7229.01374950237,7244.11496657688,7275.82702687471,7280.56655544709,7289.99135693123,7306.14600381013
91,7229.01648875249,7244.00627950697,7275.73826298335,7280.47270644099,7289.87423329456,7306.05841842279
92,7229.02043247735,7243.89729779633,7275.65252408143,7280.38194784993,7289.76252025152,7305.99239527743
93,7229.02575465732,7243.79462076563,7275.58559045886,7280.30834249994,7289.67188249431,7305.97662374892
94,7229.0326287078,7243.69842494066,7275.54774265324,7280.2601301911,7289.61005496856,7304.74700507447
